name,category,price,purchasePrice,stock,minimumStock,barcode
Rice 01,Groceries,27,20,13,4,890100000001
Juice 02,Beverages,34,25,14,5,890100000002
Biscuits 03,Snacks,41,30,15,6,890100000003
Soap 04,Personal Care,48,35,16,7,890100000004
Cleaner 05,Household,55,40,17,8,890100000005
Notebook 06,Stationery,62,45,18,3,890100000006
Milk 07,Dairy,69,50,19,4,890100000007
Apples 08,Fresh Produce,76,55,20,5,890100000008
LED Bulb 09,Electrical,83,60,21,6,890100000009
Bread 10,Bakery,90,65,22,7,890100000010
Rice 11,Groceries,97,70,23,8,890100000011
Juice 12,Beverages,104,75,24,3,890100000012
Biscuits 13,Snacks,111,80,25,4,890100000013
Soap 14,Personal Care,118,85,26,5,890100000014
Cleaner 15,Household,125,90,27,6,890100000015
Notebook 16,Stationery,132,95,28,7,890100000016
Milk 17,Dairy,139,100,29,8,890100000017
Apples 18,Fresh Produce,146,105,30,3,890100000018
LED Bulb 19,Electrical,153,110,12,4,890100000019
Bread 20,Bakery,160,115,13,5,890100000020
Rice 21,Groceries,167,120,14,6,890100000021
Juice 22,Beverages,174,125,15,7,890100000022
Biscuits 23,Snacks,181,130,16,8,890100000023
Soap 24,Personal Care,188,135,17,3,890100000024
Cleaner 25,Household,195,140,18,4,890100000025
Notebook 26,Stationery,202,145,19,5,890100000026
Milk 27,Dairy,209,150,20,6,890100000027
Apples 28,Fresh Produce,216,155,21,7,890100000028
LED Bulb 29,Electrical,223,160,22,8,890100000029
Bread 30,Bakery,230,165,23,3,890100000030
Rice 31,Groceries,237,170,24,4,890100000031
Juice 32,Beverages,244,175,25,5,890100000032
Biscuits 33,Snacks,251,180,26,6,890100000033
Soap 34,Personal Care,258,185,27,7,890100000034
Cleaner 35,Household,265,190,28,8,890100000035
Notebook 36,Stationery,272,195,29,3,890100000036
Milk 37,Dairy,279,200,30,4,890100000037
Apples 38,Fresh Produce,286,205,12,5,890100000038
LED Bulb 39,Electrical,293,210,13,6,890100000039
Bread 40,Bakery,300,215,14,7,890100000040
Rice 41,Groceries,307,220,15,8,890100000041
Juice 42,Beverages,314,225,16,3,890100000042
Biscuits 43,Snacks,321,230,17,4,890100000043
Soap 44,Personal Care,328,235,18,5,890100000044
Cleaner 45,Household,335,240,19,6,890100000045
Notebook 46,Stationery,342,245,20,7,890100000046
Milk 47,Dairy,349,250,21,8,890100000047
Apples 48,Fresh Produce,356,255,22,3,890100000048
LED Bulb 49,Electrical,363,260,23,4,890100000049
Bread 50,Bakery,370,265,24,5,890100000050
